utterance,emotion_id,acts_id,emotion,acts
"Okay , let's go !",0,4,other,commisive
"Well , you know what , don ’ t do it , ‘ cause the minute you do , they lose all respect for you .",0,3,other,Directive
"Well , it ’ s not like that . We just e-mail , it ’ s really nothing . On top of which I am definitely thinking about stopping because it ’ s getting ...",0,4,other,commisive
Out of hand .,0,1,other,inform
"Confusing . But not , because it ’ s nothing .",0,1,other,inform
Where ’ d you meet him ?,0,2,other,question
"Oh , listen , I can ’ t even remember . Ok , on my birthday , I wandered into over 30 rooms , for a joke , sort of and he was there , and we started chatting ...",0,1,other,inform
About what ?,0,2,other,question
"Oh , books , and music , how much we both love New York . Harmless , harmless , meaningless . Bouquets of sharpened pencils . Oh .",0,1,other,inform
Excuse me ?,0,2,other,question
"Forget it . We don ’ t talk about anything personal , so I don ’ t know his name or what he does or where he lives exactly . So it ’ ll be really easy for me to stop seeing him , because I ’ m not ...",0,1,other,inform
What's so special today ?,0,2,other,question
Why ?,0,2,other,question
Didn't you notice all the roses ?,0,2,other,question
It's July 7th . Chinese Valentine's Day !,0,1,other,inform
"Oh , God . I just forget it .",0,1,other,inform
I thought you had trouble with Clive !,0,1,other,inform
No . But now he will be in bigger trouble ! What's a boyfriend for ? Forget about Valentine's Day ?,0,2,other,question
Poor guy ! It's not fair . You forgot it too .,0,1,other,inform
"Oh , it's Clive .",0,1,other,inform
Wow ! Good timing .,0,1,other,inform
Excuse me for a while.Clive asked me out to a movie ! Do you want to join us ?,0,3,other,Directive
Come on . Two is company .,0,4,other,commisive
So what ?,0,2,other,question
It's Valentine's Day . Come on . Just go .,0,1,other,inform
"John , I ’ d like you to meet Charles Brown , our new manager at the airport .",0,1,other,inform
"Yes , certainly . How can I recognize him ?",0,2,other,question
"He is short , well-built , and he ’ s got light blond hair .",0,1,other,inform
Is there anything else ?,0,2,other,question
"He has a mustache , if I remember correctly , and a light complexion .",0,1,other,inform
How old is he ?,0,2,other,question
He is in his late thirties .,0,1,other,inform
Well . I shouldn ’ t have any trouble recognizing him . What time does his flight arrive ?,0,2,other,question
At two thirty .,0,1,other,inform
"Hi , Tony . You look unhappy . What's wrong ?",0,2,other,question
"Oh , Steven , I made a big mistake .",5,1,sadness,inform
What happened ?,0,2,other,question
I really wish I hadn ’ t done it .,5,1,sadness,inform
What on earth are you talking about ?,0,2,other,question
I got caught cheating . I feel so ashamed . The teacher saw me and told me I failed .,5,1,sadness,inform
What were you thinking ?,0,2,other,question
"You know my father . If I fail , he'll kill me . I have to do well .",5,1,sadness,inform
But what you should do is study hard .,0,1,other,inform
"I know ... I know ... it's all my fault . I feel awful that I didn ’ t study , and I cheated , and I got caught .",5,1,sadness,inform
So long as you learn from your mistakes .,0,1,other,inform
"Hello , John . How are you ?",0,2,other,question
"I'm fine , thanks . And you ?",0,2,other,question
"Very well , thanks . Nice to see you again . I haven't seen you for a long time . What have you been doing lately ?",0,2,other,question
"Oh , nothing much really . And how is everything with you ?",0,2,other,question
"Fine , thanks . I've been busy lately .",0,1,other,inform
What have you been doing ?,0,2,other,question
I've been studying for my exams . My school exams will begin next month .,0,1,other,inform
Really ? Good luck for them .,6,1,surprise,inform
Thanks . And how are your parents ?,4,2,happiness,question
"They're both very well , thanks .",4,1,happiness,inform
Where are you going now ?,0,2,other,question
I'm going to do some shopping . Why don't you come with me ?,4,3,happiness,Directive
I can't . I have to meet someone .,4,4,happiness,commisive
It's been nice talking to you .,4,1,happiness,inform
Good-bye . See you again sometime .,4,1,happiness,inform
Good evening . Welcome to our program .,0,1,other,inform
"Thank you . Good evening , Mr.Dean .",0,1,other,inform
"Would you tell us your name , please ?",0,2,other,question
I'm Helen Baker .,0,1,other,inform
"Glad to meet you , Ms.Baker .",4,1,happiness,inform
"Glad to meet you , too .",4,1,happiness,inform
"Where are you from , Ms.Baker ?",0,2,other,question
I'm from New Zealand .,0,1,other,inform
What do you do for a living ?,0,2,other,question
I'm a teacher .,0,1,other,inform
"Thank you for coming , Ms.baker .",4,1,happiness,inform
"I ’ m tired , Larry . Can we have a break ?",0,3,other,Directive
What ? You ’ re tired ? But we just started about twenty minutes ago .,0,4,other,commisive
"I know , but I ’ m really tired . My stomach feels funny .",0,1,other,inform
What ’ s the matter ? Didn ’ t you sleep well last night ?,0,2,other,question
I was too excited to sleep last night . I didn ’ t go to sleep until quite late .,0,1,other,inform
Then when did you go to sleep ?,0,2,other,question
About 2 o ’ clock in the morning .,0,1,other,inform
When ?,6,2,surprise,question
About 2 o ’ clock .,0,1,other,inform
"Oh , Susie . Didn ’ t I tell you over and over again that you wouldn ’ t be able to climb the mountain unless you got enough sleep ?",0,2,other,question
"You did , but I can ’ t help it .",0,1,other,inform
This is a one-day trip . We ’ ll have to keep going and try to reach the top by noon or give up right now and go home . Which one do you choose ?,0,2,other,question
"Which one do I choose ? I don ’ t want to give up , but I really feel tired .",0,1,other,inform
"So , make up your mind quickly . Whether to keep going or give up .",0,2,other,question
Let me think about it . What should I do ? I think I will not give up .,0,1,other,inform
"Man , that sunset is beautiful . I ’ Ve never seen one so red .",4,1,happiness,inform
"Yeah , it ’ s pretty nice , but its so red because of air pollution .",0,1,other,inform
Really ?,6,2,surprise,question
"Yeah , the smog from all these cars gets into the air and turns the sunlight red .",0,1,other,inform
I never knew that .,0,1,other,inform
"Yeah , more people need to take public transportation or carpool .",0,1,other,inform
"Well , we ’ Ve already done our part .",0,1,other,inform
"Yeah , it ’ s your turn to drive next week . Don ’ t be late picking me up .",0,3,other,Directive
Don ’ t worry . I ’ m getting more sleep these days . The baby ’ s finally growing up a little more .,0,4,other,commisive
"Well , give me a call if you can ’ t make it for some reason .",0,3,other,Directive
"Happy New Year , Jim !",4,1,happiness,inform
"Thank you , same to you ! Lee , have you got any plans ?",4,2,happiness,question
"Yeah , I'm going to the Temple Fair with my family .",4,1,happiness,inform
How nice ! Have fun !,4,1,happiness,inform
"Henry , don ’ t get out of doing housework .",0,3,other,Directive
It ’ s none of my business .,0,4,other,commisive
You mean that is my business .,0,1,other,inform
I don ’ t say that . But it seems to me the housewife should do that .,0,1,other,inform
"I ’ m your wife , not a housewife . I have my own work .",0,1,other,inform
Hum ...,0,1,other,inform
"Darling , I have news for you . Bobby and his wife , Evelyn , are going to have a baby soon .",0,1,other,inform
Really ? I thought his wife couldn ’ t have a baby .,6,2,surprise,question
Actually they ’ re expecting the baby to come on my birthday .,0,1,other,inform
"Oh , what a coincidence ! I bet Bobby must be very happy about it . He likes children and always wants a child of his own .",0,1,other,inform
"In fact , they ’ re both very excited about the coming baby . Evelyn imagines what their baby would be look like , since one parent is American and the other one is Chinese .",0,1,other,inform
"Oh , right . Now I know why they would want to see our boy . It ’ s hard to imagine the wonder ! Are they expecting a boy or a girl ?",0,2,other,question
It ’ s still a mystery . Because Evelyn is only three-month pregnant . But she begins to take her maternity leave now .,0,1,other,inform
"Oh ! You mean she doesn ’ t have to work now ? It ’ s hard for young parents not to overreact , isn ’ t it ?",0,2,other,question
I want to know how to buy something from this machine .,0,3,other,Directive
"Yeah , the new ones can be tricky . What are you trying to buy ?",0,2,other,question
I want to buy one of those snack things .,0,1,other,inform
Are you ready to go ?,0,2,other,question
I'm clear so far .,0,1,other,inform
The money goes in the slot over there . It has to be smooth to go in .,0,3,other,Directive
It won't go in !,0,4,other,commisive
Just remember that you might have to feed the money in a couple of times to get it to work .,0,3,other,Directive
"Yes , next step .",0,4,other,commisive
Make your selection and hope for the best . Vending machines aren't all that reliable .,0,3,other,Directive
They're totally unreliable .,0,4,other,commisive
You seem to have it down . Have a good day !,4,1,happiness,inform
"Hello , Lily .",0,1,other,inform
"Hello , Mr . Clark . You ’ re early for lunch . It ’ s only eleven o ’ clock .",0,1,other,inform
"When I come late , there ’ s usually nothing left .",0,1,other,inform
What would you like today ?,0,2,other,question
I ’ ll have the leg of lamb .,0,1,other,inform
"And would you like salad ? The salad plate today is lettuce , tomatoes , and black olives .",0,2,other,question
How may I help you ?,0,2,other,question
I couldn ’ t find the book I was looking for .,0,3,other,Directive
Have you checked the database ?,0,3,other,Directive
I checked .,0,1,other,inform
Was it on the shelf ?,0,2,other,question
"It should have been , but it wasn ’ t .",0,1,other,inform
Maybe someone took it .,0,1,other,inform
Will you be getting another copy anytime soon ?,0,3,other,Directive
I ’ m sure we will .,0,4,other,commisive
Would you be able to reserve it for me ?,0,3,other,Directive
I sure will .,0,4,other,commisive
Thank you very much .,4,1,happiness,inform
do you have internet in your room ?,0,2,other,question
"sure , I am a total internet junkie , I can't survive without internet .",0,1,other,inform
really ? What do you usually do online ?,6,2,surprise,question
"well , there are a lot of things , like reading news , email , shopping , etc . but mostly I chat online . You could say I'm addicted to online chatting .",0,1,other,inform
I never chatted online before . What's it like .,0,1,other,inform
"well , basically it's similar to face-to-face chat , but you type instead of talk . You should try it at least once .",0,3,other,Directive
really ? Who do you chat with ?,5,2,sadness,question
"to people all over the world ! I have a lot of net pals . See , the magic of internet is that it connects people from all over the world . You can chat with someone thousands of miles away as if they were",0,1,other,inform
that's amazing . I will install an online messenger program when I get home .,0,1,other,inform
"well , my suggestion for a newbie like you is that don't get lost in the cyberspace . You know internet won't do the filtration for you , so you still need to use your judgement . There are a lot of per",0,3,other,Directive
don't worry .,0,4,other,commisive
"What are you doing now , Steven ?",0,2,other,question
I am reading a book about money management .,0,1,other,inform
"Oh , my God . Do you want to be a millionaire ? I can see you are very crazy about money .",6,2,surprise,question
"Everyone wants to earn a lot of money . Don't you think so ? What's more , I am interested in money management .",0,1,other,inform
"No , you are wrong . Money can't buy happiness and health . I won't sacrifice my health in order to get money . In other words , I don't want to be a millionaire and I want to have more free time to enjoy life .",0,1,other,inform
"Oh , I see . But a proverb says "" Money makes the mare go . "" I think it will be better if you have more money .",4,1,happiness,inform
Maybe you are right . Please take care of yourself when you make money . Anyway health is the most important thing .,4,1,happiness,inform
Thank you for your caring . I will .,4,1,happiness,inform
No thanks .,4,1,happiness,inform
"It's the 17th week now , isn't it ?",0,2,other,question
"Yes , it is .",0,1,other,inform
"Oh , the final exam is coming soon . I feel a little bit nervous .",3,1,fear,inform
Take it easy . There is still one more week left before the exam begins . Have you prepared for it well ?,0,2,other,question
"No , I haven't began my preparations .",0,1,other,inform
Then shall we make preparations together ?,0,3,other,Directive
Great . You can help me a lot with English .,4,4,happiness,commisive
All right . But I am very poor at math . Would you like to help me with my math ?,0,3,other,Directive
No problem .,0,4,other,commisive
Have you ever been to any other country ?,0,2,other,question
"Pity I haven't . If I can afford it , I'll certainly take a trip abroad .",0,1,other,inform
That's also my dream .,0,1,other,inform
How about going to italy next summer vacation ?,0,3,other,Directive
Why not ?,0,4,other,commisive
"You are blue in the face , arn't you ?",0,2,other,question
"The cat has eaten my fish , I'll kill it .",1,1,anger,inform
"But supposing your son killed like the fish , what do you think then ?",0,2,other,question
I'll beat him .,1,1,anger,inform
"So beat the cat , but don't kill it .",0,1,other,inform
You ’ re all set now ?,4,2,happiness,question
"Oh , thank you so much .",4,1,happiness,inform
"Really , it was nothing .",4,1,happiness,inform
I really appreciated it .,4,1,happiness,inform
I was happy to help .,4,1,happiness,inform
It was so kind of you .,4,1,happiness,inform
Don ’ t mention it .,4,1,happiness,inform
You ’ re a real friend in need .,4,1,happiness,inform
Let's get together this weekend .,4,3,happiness,Directive
Sounds good .,4,4,happiness,commisive
"What time is it , Tom ?",0,2,other,question
Just a minute . It's ten to nine by my watch .,0,1,other,inform
Is it ? I had no idea it was so late . I must be off now .,0,2,other,question
What's the hurry ?,0,2,other,question
I must catch the nine-thirty train .,0,1,other,inform
You've plenty of time yet . The railway station is very close . It won't take more than twenty minutes to get there .,0,1,other,inform
Are you still at that work ?,0,2,other,question
"Yes , I'm still working there . But I really find my job boring . I'd like to change my job .",0,1,other,inform
What sort of job do you have in mind ?,0,2,other,question
I think I'm quite fit for a driver .,0,1,other,inform
But it's very tired .,0,1,other,inform
I don't care .,0,1,other,inform
What's your parents ' opinion ?,0,2,other,question
I haven't told them . Maybe I'll make them know after the vacation .,0,1,other,inform
is this seat taken ?,0,3,other,Directive
no . please sit down .,0,4,other,commisive
thanks .,0,1,other,inform
are you also going to Beijing ?,0,2,other,question
"yes , on a business trip . How about you ?",0,2,other,question
I'm taking a vacation to visit a friend there . Have you ever been there before ?,0,2,other,question
"yes , I went there once last summer .",0,1,other,inform
really ? What did you think ?,0,2,other,question
I think it is amazing . You can enjoy both the traditional Chinese culture as well as the vitality of a modern cosmopolitan city . The only thing I didn't enjoy was the subway .,0,1,other,inform
was it that crowded ?,0,2,other,question
"yes . There were always so many people . After taking the subway during the rush hour , you ’ ll envy sardines in their cans .",0,1,other,inform
"oh , maybe I can take the bus or even rent a car .",0,1,other,inform
that's a good idea . Wish you a great vacation !,4,1,happiness,inform
thank you very much !,4,1,happiness,inform
Do you like watching TV ?,0,2,other,question
"Yes I do , usually .",0,1,other,inform
What do you exactly mean by usually ?,0,2,other,question
I don't like spending time on commercials.There ' re too many commercials on TV .,0,1,other,inform
We're forming a study group to prepare for the finals . Do you want to join us ?,0,3,other,Directive
But the semester just started ? Why the rush ?,6,2,surprise,question
"After you try it once this way , I don't think you'll ever put off studying till the end again .",0,1,other,inform
How often do you meet ?,0,2,other,question
We plan to get together once a week .,0,1,other,inform
"What days , do you know ?",0,2,other,question
"We were talking about Wednesday evenings at the library , from seven to eight .",0,1,other,inform
"Okay , count me in .",0,4,other,commisive
What is wrong with Peter ? He sure looks unhappy .,0,2,other,question
"His girlfriend dumped him , and he is tearing his heart out over her .",0,1,other,inform
How foolish he is . The girl is inviting . She often makes a pass at boys .,0,1,other,inform
"Love is blind , you know .",0,1,other,inform
Can you lend me your car ?,0,3,other,Directive
Nothing ' doing .,0,4,other,commisive
"Peter , which club do you want to join ?",0,2,other,question
"I haven't decided yet . What about you , Andy ?",0,2,other,question
I am a member of the basketball club . Do you want to join us ?,0,3,other,Directive
But I don't know how to play basketball .,0,1,other,inform
It's OK . Don't worry about it . Our school coach will train us to play basketball .,0,3,other,Directive
You ’ re all set now ?,4,2,happiness,question
"Oh , thank you so much .",4,1,happiness,inform
"Really , it was nothing .",4,1,happiness,inform
I really appreciated it .,4,1,happiness,inform
I was happy to help .,4,1,happiness,inform
It was so kind of you .,4,1,happiness,inform
Don ’ t mention it .,4,1,happiness,inform
You ’ re a real friend in need .,4,1,happiness,inform
"Hi , Jason !",0,1,other,inform
"Hi , Linda . I have two concert complimentary tickets . Will you go with me tonight ?",0,3,other,Directive
With the greatest pleasure ! Where is the concert held this evening ?,4,2,happiness,question
It will be held at the Central Music Hall .,0,1,other,inform
What is on the program ?,0,2,other,question
"It ’ s a piano solo . I'm fond of piano , you know .",0,1,other,inform
Hah ! OK . Let ’ s go together !,4,4,happiness,commisive
Let ’ s meet at the park at 6:00 .,4,1,happiness,inform
See you then .,4,1,happiness,inform
I'm tired of this job .,2,1,disgust,inform
So am I .,2,1,disgust,inform
"Good afternoon , would you mind if I sit here ?",0,3,other,Directive
Of course not .,0,4,other,commisive
I ’ m Jack . What ’ s your name ?,0,2,other,question
Laura .,0,1,other,inform
Do you like this place ?,0,2,other,question
I don ’ t think it ’ s very nice . And my father doesn ’ t like it . But my mother likes it very much . So we often come here .,0,1,other,inform
How often ?,0,2,other,question
"Well , we come here almost every month .",0,1,other,inform
Who ’ s that ?,0,2,other,question
It ’ s my mother . She ’ s fond of swimming . And the man beside her is my father .,0,1,other,inform
Do you like swimming ?,0,2,other,question
"No , I hate swimming . I prefer playing tennis .",0,1,other,inform
What shall I call him ?,0,2,other,question
"Oh , you may call him Uncle , or Henry .",0,1,other,inform
What's he doing ?,0,2,other,question
He's checking bags.He ' s an official in the customs .,0,1,other,inform
"Hi , John ! How was your vacation ?",0,2,other,question
We went to Malaysia and Thailand .,0,1,other,inform
That must have been wonderful . Do anything interesting ?,0,2,other,question
Well . We went bungee jumping when we were in Malaysia .,4,1,happiness,inform
"Wow , isn't that dangerous ?",0,2,other,question
"A little , but the rush was worth it .",4,1,happiness,inform
Tell me about it .,0,3,other,Directive
We jumped off a bridge and fell 500 feet before the bungee cord caught us .,0,1,other,inform
500 feet ! I would never be able to do that .,6,1,surprise,inform
"Yeah , It was scary but exhilarating .",4,1,happiness,inform
"It's a lovely day , isn't it ?",4,2,happiness,question
"Yes , the weather sure is nice today .",4,1,happiness,inform
I love it when the weather is like this.Why don't we sit down outside and have our lunch ?,4,3,happiness,Directive
"That sounds like a good idea.The sky is clear , the sun is shining and there's a nice cool breeze , so it is not too hot .",4,4,happiness,commisive
"I really miss the change of seasons like we have in Colorado ; but I must admit , this sure is a nice spring day .",4,1,happiness,inform
"Hey , this spot in the shade looks really comfortable .",4,1,happiness,inform
"Okay.Hey , is that a dark cloud over there ? Do you think it will rain after all ?",6,2,surprise,question
"I don't think so . I say the weather report last night , and it said the weather should be fine all day .",0,1,other,inform
If the weather stays nice perhaps we can go to the beach this weekend.It ' s been a while since I've not really gotten some sun .,0,1,other,inform
Did you go to the movie yesterday ?,0,2,other,question
"Yes , I did .",0,1,other,inform
What did you think of it ?,0,2,other,question
I don't think much of the film .,0,1,other,inform
I think it is the worst one I have ever seen .,2,1,disgust,inform
"Oh , I'm not sure I agree with you . It was not a good one , but it was not the worst one . Actually , it wasn't too bad .",0,1,other,inform
I can't think the same .,2,1,disgust,inform
"What's more , some scenes were good , much fit for the children .",0,1,other,inform
I couldn't agree with you .,0,1,other,inform
There has been talk at school about canceling the concert .,0,1,other,inform
Really ? Who did you hear that from ?,6,2,surprise,question
Just word of mouth .,0,1,other,inform
Do you have the notes from last week's class ?,0,3,other,Directive
Did you come late ?,0,2,other,question
I couldn't make it .,0,1,other,inform
Why is that ?,0,2,other,question
I was sick .,0,1,other,inform
"Oh , okay . Well , here you go .",0,4,other,commisive
Are these all of them ?,0,2,other,question
"Oh , wait , here are the rest .",0,1,other,inform
Thanks a bunch .,4,1,happiness,inform
Don't mention it .,4,1,happiness,inform
"Excuse me , Professor . I think there might be an error in my test score .",0,1,other,inform
Sure . Do you think that the total is wrong or that you got something marked wrong that should have been marked right ?,0,2,other,question
I think that the percentage is incorrect .,0,1,other,inform
Let's just go over all of it to double-check .,0,3,other,Directive
"Sure , let's do it .",0,4,other,commisive
Here is the answer sheet . Do you see a place where I marked something wrong that should have been right ?,0,2,other,question
I don't see any mistakes .,0,1,other,inform
"OK , now that we've gotten those straightened out , let's total the score .",0,3,other,Directive
"Yes , let's total it .",0,4,other,commisive
"Well , if I total that like this and divide by this number , I get this total . Do you agree ?",0,2,other,question
"Yes , you're right .",0,1,other,inform
"Well then , we are all straight . Have a good day and thanks for bringing that to my attention .",4,1,happiness,inform
A new film is on.Have you ever seen it ?,0,2,other,question
What kind of movie is it ?,0,2,other,question
It's a feature film .,0,1,other,inform
"Oh , I've no interest in such films .",0,1,other,inform
"Mary , I heard you moved again .",0,1,other,inform
Yeah . I could not stand living here . There is always much noise in the neighborhood .,0,1,other,inform
You mean noise ? How could it be ?,0,2,other,question
"You know , on weekends when we wanted to have late rise in the morning , our neighbour started to raise Cain .",0,1,other,inform
What do you think of your teacher ?,0,2,other,question
He's very strict with us .,0,1,other,inform
And I hear he gives very good lectures .,0,1,other,inform
Indeed . He's strict with himself too . We can see every lecture of his is well-prepared .,0,1,other,inform
What do you want to do tomorrow night ?,0,2,other,question
What--is tomorrow night something special ?,0,2,other,question
It's Friday . We should go party .,0,3,other,Directive
"I don't need to drink every weekend . I could be happy just staying home , you know .",0,4,other,commisive
Okay . Stay home Sunday . But Friday we should go out dancing .,0,3,other,Directive
Do you feel like dancing ?,0,2,other,question
Yes ? Why not ?,0,2,other,question
Alright.At least that's better than sitting in a bar with your alcoholic friends .,0,1,other,inform
They aren't alcoholic !,0,1,other,inform
"No , maybe they're not . But they're close .",0,1,other,inform
So where should we go ?,0,2,other,question
Let's go to the Latin Club . I think they will have a Brazilian band there this weekend . Maybe it's Friday night .,0,3,other,Directive
You always want to go to the Latin Club . I don't know those dance steps . I'd rather go to the New Bar .,0,3,other,Directive
The New Bar is all techno music on Friday night.You really want to dance to that ?,0,2,other,question
It's not all techno music . It's not a special techno night .,0,1,other,inform
"No . But they play techno all the time . It drives me crazy after forty minutes.And anyhow , if we go to the Latin Club you could actually learn some Latin dance steps.At the New Bar you'll just shake yourself around for an hour.And then you'll get sick of stand you'll want to go get drunk somewhere where the drinks are cheaper . I know you .",0,3,other,Directive
It's fine with me if we go to the Latin Club . I like Latin Music.The only thing I never want to do again is listen to country rock.What was that bar called ?,0,2,other,question
"Oh . You mean Jerry's , over on the east side.That wasn't my idea going there .",0,1,other,inform
"No . It was that friend of yours , Melissa.Her and all her lousy country music Cds . Yecch !",0,1,other,inform
It's true . I would never go there again either.Country music is a nightmare . So is it the Latin Club ?,0,3,other,Directive
"Yes . You have to teach me the samba , and the tango , and whatever else they do .",0,4,other,commisive
"Well , it seems you'll have to learn some Spanish too , won't you ?",0,2,other,question
Maybe .,0,1,other,inform
"David , do you think we are lucky to have the weekend ?",0,3,other,Directive
Definitely . I need to have enough time to have a rest on this weekend . We worked like bees in the whole working days .,0,2,other,question
"I agree with you . What do you want to do , except sleeping ?",0,3,other,Directive
"Let me think . Oh , awful ! I still have not finished the chart which was assigned by Mr . Wharton on Friday . So that task will make my busy .",0,2,other,question
I am better . I will go out to have a visit to my aunt . Why don't we have fun on weekend ?,0,3,other,Directive
So what ?,0,4,other,commisive
And what's your vision ?,0,2,other,question
20/350 .,0,1,other,inform
"Mine's 20/20 . Life just isn't fair , is it ?",0,2,other,question
"Oh , yes , it is .",0,1,other,inform
What do you mean ?,0,2,other,question
You'll find out when we're in the woods and you have to go to the bathroom ...,0,1,other,inform
They don't have toilets at the campground ?,0,2,other,question
Let's just say I'll have it easy ...,0,1,other,inform
A funny thing happened to me the other day .,4,1,happiness,inform
"Oh , yes ?",0,2,other,question
"I was just thinking about someone I went to school with , this boy I was quite friendly with in third grade . We used to hang out together - he lived next door - but then my parents moved and I changed schools and never saw him again .",4,1,happiness,inform
Mmm .,0,1,other,inform
"Well , I was walking down Nan Jing Dong Lu ( Nan-Jing E . Rd . ) during my lunch break thinking about this boy-I have no idea why I was thinking about him .",4,1,happiness,inform
Really ?,6,2,surprise,question
"Yes . And suddenly I heard someone call my name . I turned around and there was this man looking at me . I didn't recognize him at all , but he obviously knew who I was .",4,1,happiness,inform
"Oh , yeah , that's embarrassing when that happens .",4,1,happiness,inform
"You got it . Well , he walked up to me and said my name again and then I realized it was the boy I had been thinking about , the one from third grade !",4,1,happiness,inform
You look tired . Did you sleep well last night ?,0,2,other,question
I stayed up all night writing a report .,0,1,other,inform
Go easy . Overwork is bad for your health .,0,1,other,inform
"Hi , how ’ re you doing ?",0,2,other,question
Terrible .,0,1,other,inform
"Oh , what ’ s the matter ?",0,2,other,question
I ’ Ve got a fever and really a bad headache .,0,1,other,inform
"Oh , that ’ s too bad . Why don ’ t you take some aspirin ?",0,3,other,Directive
I ’ Ve already tried some but it didn ’ t help .,0,4,other,commisive
"Well , it ’ s necessary for you to see a doctor .",0,3,other,Directive
"Yeah , I guess I should .",0,4,other,commisive
"Well , you ’ d better get some rest .",0,3,other,Directive
Thank you very much .,4,4,happiness,commisive
Bye .,0,1,other,inform
"Did you hear the news ? Two of our major suppliers , Murphy Music and U-Tunes are merging ! If they are conglomerated into one company into one company , it would have some serious affects on our market strategy .",0,2,other,question
"Are you sure ? Who told you that ? I highly doubt that they would take the step to merge into one company ... They're supposed to be bitter enemies , the strictest of competitors.It must be a rumor.It can't be true .",6,2,surprise,question
"I read it myself on the financial page.They ' re really going to join together . U-Tunes was bought out by Murphy's , they will take over the company as of next month .",0,1,other,inform
The competition must have been too stiff for U-Tunes.Otherwise why would they allow themselves to be taken over by their sworn enemy ?,0,1,other,inform
"I guess they must have figured it would be easier to merge than to keep up the cutthroat competition.If you can't beat'em , join'em .",0,1,other,inform
"Daniel , would you like to have a look at my dorm ?",0,3,other,Directive
"Of course , I'd like to .",0,4,other,commisive
"It is a small room , just for 4 people .",0,1,other,inform
What is in it ?,0,2,other,question
"It only has 4 beds and 4 writing desks , but it is spacious and bright .",0,1,other,inform
Do you get along with your roommates ?,0,2,other,question
Of course . They are very friendly .,0,1,other,inform
Which floor are you on ?,0,2,other,question
"We are on the 5th floor , and there's a very nice view from the balcony .",0,1,other,inform
"Oh , you can climb the stairs as a workout .",0,3,other,Directive
"Yes , that's a good idea .",0,4,other,commisive
"Wow , your roommates are cleaning the room .",0,1,other,inform
Let's give them a hand .,0,1,other,inform
I like hitchhiking.will you go with me ?,0,3,other,Directive
"Oh , no . I don't think I'm in that good form .",0,4,other,commisive
"It's a pity.Say , how about a place near enough ?",0,3,other,Directive
To where exactly ?,0,2,other,question
New England .,0,1,other,inform
That's still too far for me .,0,4,other,commisive
Excuse me . Nature calls .,0,3,other,Directive
"If you gotta go , you gotta go .",0,4,other,commisive
"Julia , will you be my wife ?",0,3,other,Directive
"I'm sorry , Steven .",0,4,other,commisive
"Please , Julia , I have made proposal to you five times . I really want to share the rest of my life with you .",0,3,other,Directive
I know . But I ’ m not ready for married life yet .,0,4,other,commisive
"Julia , I really love you . I hope I can stay with you no matter you are happy or sad in future .",0,3,other,Directive
Your way does touch my heart .,0,4,other,commisive
"So , will you marry me ?",0,3,other,Directive
I want to think of it for some time .,0,4,other,commisive
"Yeah , it's really cute . But why a monkey suit ? Is Hello Kitty having an identity complex ?",0,2,other,question
"No , she's wearing my Chinese zodiac sign .",0,1,other,inform
You were born in the year of the monkey ?,0,2,other,question
"Yeah , are you surprised ?",0,2,other,question
Not at all ! That explains everything !,6,1,surprise,inform
What's the time ? My watch has stopped .,0,2,other,question
Let me see . It's five minutes to eleven .,0,1,other,inform
Is your watch right ?,0,2,other,question
I think so . I see it by the radio this morning .,0,1,other,inform
How long will it take to learn English ? Will I be able to take other courses next semester or will English take up all of my time ?,0,2,other,question
It ’ s hard to say . Language isn ’ t like other studies .,0,1,other,inform
You mean I could finish this course and still not know English ? You ’ Ve got to be kidding !,6,2,surprise,question
I ’ m not kidding . Learning a language is a question of forming language habits and that takes time .,0,1,other,inform
So do we have to stay in this English class forever ?,0,2,other,question
No . You just have to stay here long enough to get some orientation . Then you go on practicing and learning outside . A lot of learning depends on your personal motivation .,0,1,other,inform
"So it ’ s really the same story . Practice , practice , practice and more practice is the only way to learn a language .",0,1,other,inform
You said it .,0,1,other,inform
How nice it is here,4,1,happiness,inform
You can say that again . The sunny shining and there ’ s pleasant raise . it ’ s so lovely,4,1,happiness,inform
"I ’ Ve heard the whether here is ideal , just like spring most of the year",4,1,happiness,inform
That ’ s correct . we have four seasons of spring,4,1,happiness,inform
You're going to get into a lot of trouble if you do that .,0,1,other,inform
What makes you say that ?,0,2,other,question
"I don't see anything wrong with what we're doing ! That's just the problem . In these kind of things , the trouble doesn't always appear at first .",0,1,other,inform
But everything has been so easy .,0,1,other,inform
"Everything has gone as smooth as clockwork . Just like we planned ! That may be true , but if you were to do it , you would have trouble on the horizon . You always say that .",0,1,other,inform
"Yeah , you never look at the positive side of things .",0,1,other,inform
"Okay . Have it your way , but don't say I didn't warn you .",0,1,other,inform
"Excuse me , is this seat taken ?",0,2,other,question
"Er ... no , go ahead .",0,1,other,inform
"You work upstair , right ? I think I have seen you before . I'm Karren , Karren Brown .",4,1,happiness,inform
"Nice to meet you , Karren . I'm Tim Wang .",4,1,happiness,inform
"Happy to know you , Tim .",4,1,happiness,inform
I can bet the farm that you will regret about your decision . You cannot find a better one .,0,1,other,inform
"How can you be so sure ? You haven ’ t been together with her , have you ?",0,2,other,question
No . But I ’ m sure she is a good girl . My sixth sense tells me so .,0,1,other,inform
Then try it yourself .,0,1,other,inform
"Betty , would you please read this letter of application I've just written ? I'd like to have your opinion .",0,3,other,Directive
